StationID,StationName,InstallationDate,LocationID
US1FLHB0187,"RUSKIN 6.2 ENE, FL US",2020-01-01,1
US1FLPN0134,"CLEARWATER 1.0 SW, FL US",2020-01-01,2
US1FLMN0077,"SUMMERLAND KEY 0.8 SE, FL US",2020-01-01,3
US1FLMN0076,"KEY WEST 2.2 ENE, FL US",2020-01-01,4
US1FLHB0181,"RUSKIN 3.9 ENE, FL US",2020-01-01,5
US1FLHB0183,"SUN CITY CENTER 0.5 ENE, FL US",2020-01-01,6
US1FLHB0182,"PLANT CITY 1.2 SW, FL US",2020-01-01,7
US1FLMN0079,"SUMMERLAND KEY 0.7 S, FL US",2020-01-01,8
US1FLCR0013,"NAPLES PARK 3.7 ENE, FL US",2020-01-01,9
US1FLMN0070,"KEY WEST 0.6 ESE, FL US",2020-01-01,10
US1FLCR0012,"NAPLES 5.7 SE, FL US",2020-01-01,11
US1FLPN0130,"ST. PETERSBURG 6.4 W, FL US",2020-01-01,12
US1FLMN0073,"KEY WEST 2.8 ENE, FL US",2020-01-01,13
US1FLPN0131,"SEMINOLE 0.9 S, FL US",2020-01-01,14
USC00088051,"SCOTTSMOOR 2.5 SSW, FL US",2020-01-01,15
US1FLPN0122,"ST. PETERSBURG 3.5 NNW, FL US",2020-01-01,16
US1FLPN0126,"DUNEDIN 2.4 ESE, FL US",2020-01-01,17
US1FLHB0191,"SEFFNER 2.1 S, FL US",2020-01-01,18
US1FLPN0129,"ST. PETERSBURG 5.5 N, FL US",2020-01-01,19
US1FLBV0095,"MERRITT ISLAND 10.6 NNW, FL US",2020-01-01,20
USC00089176,"VENICE, FL US",2020-01-01,21
US1FLHB0162,"BRANDON 2.8 N, FL US",2020-01-01,22
US1FLHB0166,"RIVERVIEW 2.1 WNW, FL US",2020-01-01,23
USC00080598,"BELL 4 NW, FL US",2020-01-01,24
USC00083874,"HASTINGS 4 NE, FL US",2020-01-01,25
US1FLHB0168,"CARROLLWOOD VILLAGE 2.3 W, FL US",2020-01-01,26
US1FLHB0177,"PLANT CITY 3.9 SE, FL US",2020-01-01,27
US1FLVL0083,"DE LAND 3.9 SSE, FL US",2020-01-01,28
US1FLVL0084,"LAKE HELEN 0.4 SW, FL US",2020-01-01,29
US1FLFL0053,"PALM COAST 4.6 NW, FL US",2020-01-01,30
